aerolinea,origen,destino,distancia_km,fecha_partida,retraso,target_texto,fecha_iso
G3,BOG,AEP,6274,2025-06-11 02:04:00,1,Retrasado,2025-06-11T02:04:00
AR,AEP,SCL,5863,2025-01-11 04:58:00,0,Puntual,2025-01-11T04:58:00
AA,GRU,LIM,8391,2025-12-09 17:48:00,0,Puntual,2025-12-09T17:48:00
AA,MIA,EZE,7350,2025-03-22 22:24:00,0,Puntual,2025-03-22T22:24:00
AR,LIM,MIA,11782,2025-07-12 10:11:00,0,Puntual,2025-07-12T10:11:00
G3,EZE,LIM,1563,2025-02-06 08:18:00,0,Puntual,2025-02-06T08:18:00
AR,EZE,GRU,7159,2025-10-25 17:53:00,0,Puntual,2025-10-25T17:53:00
AA,SCL,MIA,4248,2025-01-16 14:29:00,0,Puntual,2025-01-16T14:29:00
LA,AEP,EZE,5045,2025-01-14 10:51:00,0,Puntual,2025-01-14T10:51:00
IB,AEP,SCL,3232,2025-06-14 22:31:00,1,Retrasado,2025-06-14T22:31:00
AA,AEP,BOG,2372,2025-06-19 03:09:00,0,Puntual,2025-06-19T03:09:00
AR,LIM,SCL,5220,2025-07-17 15:38:00,0,Puntual,2025-07-17T15:38:00
IB,GRU,SCL,2469,2025-08-25 08:27:00,0,Puntual,2025-08-25T08:27:00
AR,MIA,MAD,9576,2025-05-27 02:49:00,0,Puntual,2025-05-27T02:49:00
AR,EZE,MIA,818,2025-03-16 18:04:00,0,Puntual,2025-03-16T18:04:00
LA,BOG,LIM,4217,2025-05-04 18:13:00,0,Puntual,2025-05-04T18:13:00
IB,MAD,EZE,11887,2025-03-22 04:28:00,1,Retrasado,2025-03-22T04:28:00
IB,LIM,MIA,5991,2025-07-03 12:57:00,0,Puntual,2025-07-03T12:57:00
LA,LIM,EZE,1874,2025-05-31 05:05:00,0,Puntual,2025-05-31T05:05:00
AA,GRU,AEP,5942,2025-05-09 06:36:00,1,Retrasado,2025-05-09T06:36:00
AR,EZE,BOG,9179,2025-12-12 16:56:00,0,Puntual,2025-12-12T16:56:00
G3,SCL,AEP,950,2025-03-12 01:27:00,1,Retrasado,2025-03-12T01:27:00
AR,MIA,SCL,9044,2025-10-20 16:59:00,0,Puntual,2025-10-20T16:59:00
AR,GRU,BOG,7680,2025-03-12 09:07:00,0,Puntual,2025-03-12T09:07:00
AA,BOG,MAD,2440,2025-01-12 03:16:00,0,Puntual,2025-01-12T03:16:00
AR,EZE,AEP,2867,2025-03-13 01:26:00,0,Puntual,2025-03-13T01:26:00
LA,GRU,MAD,11928,2025-10-29 15:36:00,0,Puntual,2025-10-29T15:36:00
LA,EZE,LIM,8387,2025-06-01 12:03:00,0,Puntual,2025-06-01T12:03:00
IB,EZE,SCL,747,2025-09-03 13:01:00,1,Retrasado,2025-09-03T13:01:00
G3,SCL,GRU,4003,2025-04-23 05:59:00,0,Puntual,2025-04-23T05:59:00
AR,LIM,GRU,9259,2025-12-16 20:22:00,0,Puntual,2025-12-16T20:22:00
AR,MIA,BOG,9375,2025-03-14 21:28:00,0,Puntual,2025-03-14T21:28:00
AA,LIM,BOG,9335,2025-07-18 11:55:00,0,Puntual,2025-07-18T11:55:00
LA,MAD,AEP,978,2025-03-25 23:31:00,0,Puntual,2025-03-25T23:31:00
G3,MIA,GRU,3260,2025-02-25 23:52:00,0,Puntual,2025-02-25T23:52:00
IB,EZE,MIA,8468,2025-05-28 06:15:00,0,Puntual,2025-05-28T06:15:00
LA,GRU,MIA,6440,2025-01-14 18:54:00,1,Retrasado,2025-01-14T18:54:00
IB,BOG,LIM,4952,2025-08-05 13:20:00,1,Retrasado,2025-08-05T13:20:00
AA,SCL,MIA,1868,2025-08-24 22:06:00,0,Puntual,2025-08-24T22:06:00
AA,MIA,LIM,2726,2025-09-12 18:34:00,1,Retrasado,2025-09-12T18:34:00
AR,MAD,GRU,4112,2025-05-18 04:44:00,0,Puntual,2025-05-18T04:44:00
G3,EZE,MIA,6062,2025-07-19 02:24:00,0,Puntual,2025-07-19T02:24:00
IB,BOG,MAD,10534,2025-08-26 20:55:00,0,Puntual,2025-08-26T20:55:00
LA,MIA,EZE,11106,2025-03-26 00:05:00,0,Puntual,2025-03-26T00:05:00
AA,LIM,BOG,1559,2025-09-19 23:58:00,0,Puntual,2025-09-19T23:58:00
AR,LIM,SCL,2144,2025-05-30 00:51:00,1,Retrasado,2025-05-30T00:51:00
AR,MIA,AEP,5765,2025-08-26 04:04:00,0,Puntual,2025-08-26T04:04:00
IB,MIA,LIM,2311,2025-01-24 00:26:00,0,Puntual,2025-01-24T00:26:00
AA,MIA,MAD,2693,2025-10-28 18:13:00,0,Puntual,2025-10-28T18:13:00
G3,BOG,MIA,11119,2025-11-01 02:29:00,0,Puntual,2025-11-01T02:29:00
AA,LIM,SCL,667,2025-04-15 23:51:00,0,Puntual,2025-04-15T23:51:00
IB,GRU,SCL,7942,2025-08-04 03:43:00,0,Puntual,2025-08-04T03:43:00
IB,MAD,EZE,4682,2025-12-28 21:28:00,0,Puntual,2025-12-28T21:28:00
AA,MAD,AEP,8845,2025-12-04 01:01:00,0,Puntual,2025-12-04T01:01:00
IB,SCL,MAD,3044,2025-09-08 13:55:00,0,Puntual,2025-09-08T13:55:00
AA,EZE,AEP,4368,2025-02-06 05:35:00,1,Retrasado,2025-02-06T05:35:00
LA,AEP,LIM,9006,2025-01-08 00:31:00,0,Puntual,2025-01-08T00:31:00
AA,GRU,LIM,6450,2025-03-29 05:08:00,0,Puntual,2025-03-29T05:08:00
AA,LIM,BOG,9414,2025-05-15 00:08:00,0,Puntual,2025-05-15T00:08:00
IB,EZE,GRU,11503,2025-12-18 06:30:00,0,Puntual,2025-12-18T06:30:00
IB,SCL,LIM,2809,2025-12-18 21:29:00,0,Puntual,2025-12-18T21:29:00
AR,EZE,MIA,7130,2025-10-25 17:55:00,0,Puntual,2025-10-25T17:55:00
AR,MIA,SCL,11193,2025-03-13 03:53:00,0,Puntual,2025-03-13T03:53:00
LA,AEP,MAD,7186,2025-02-08 11:07:00,0,Puntual,2025-02-08T11:07:00
AR,LIM,MAD,2523,2025-06-05 06:01:00,0,Puntual,2025-06-05T06:01:00
AA,AEP,EZE,849,2025-05-01 18:15:00,0,Puntual,2025-05-01T18:15:00
IB,GRU,SCL,9515,2025-08-19 08:19:00,1,Retrasado,2025-08-19T08:19:00
AR,AEP,EZE,9129,2025-02-02 22:18:00,1,Retrasado,2025-02-02T22:18:00
AR,EZE,MIA,8860,2025-09-05 05:34:00,0,Puntual,2025-09-05T05:34:00
LA,AEP,SCL,8453,2025-02-03 19:35:00,0,Puntual,2025-02-03T19:35:00
LA,AEP,MIA,3801,2025-04-13 10:10:00,0,Puntual,2025-04-13T10:10:00
AA,MAD,MIA,4618,2025-05-27 00:50:00,0,Puntual,2025-05-27T00:50:00
IB,LIM,AEP,11727,2025-02-03 08:28:00,0,Puntual,2025-02-03T08:28:00
LA,LIM,MIA,7319,2025-09-16 12:39:00,0,Puntual,2025-09-16T12:39:00
AR,EZE,MAD,3269,2025-02-23 23:00:00,0,Puntual,2025-02-23T23:00:00
IB,BOG,LIM,10992,2025-07-07 08:02:00,0,Puntual,2025-07-07T08:02:00
IB,AEP,LIM,4999,2025-08-08 23:32:00,0,Puntual,2025-08-08T23:32:00
AR,AEP,MIA,2680,2025-08-30 03:20:00,0,Puntual,2025-08-30T03:20:00
LA,MIA,AEP,3845,2025-07-12 06:29:00,1,Retrasado,2025-07-12T06:29:00
AR,LIM,AEP,3165,2025-04-30 14:07:00,0,Puntual,2025-04-30T14:07:00
IB,AEP,GRU,8923,2025-02-18 18:23:00,0,Puntual,2025-02-18T18:23:00
G3,LIM,BOG,11284,2025-12-06 09:14:00,0,Puntual,2025-12-06T09:14:00
G3,AEP,SCL,9750,2025-07-07 15:20:00,1,Retrasado,2025-07-07T15:20:00
AA,MAD,MIA,3042,2025-09-17 17:58:00,0,Puntual,2025-09-17T17:58:00
AR,EZE,LIM,9825,2025-06-07 01:00:00,0,Puntual,2025-06-07T01:00:00
AR,LIM,MIA,5940,2025-12-12 01:25:00,0,Puntual,2025-12-12T01:25:00
AA,GRU,AEP,8648,2025-06-28 21:28:00,0,Puntual,2025-06-28T21:28:00
AA,EZE,GRU,11067,2025-02-17 13:54:00,0,Puntual,2025-02-17T13:54:00
AA,MIA,AEP,7610,2025-06-18 20:06:00,0,Puntual,2025-06-18T20:06:00
IB,EZE,MIA,4380,2025-04-23 17:47:00,1,Retrasado,2025-04-23T17:47:00
AR,AEP,BOG,3237,2025-01-09 13:43:00,0,Puntual,2025-01-09T13:43:00
IB,MIA,LIM,2931,2025-05-25 19:59:00,1,Retrasado,2025-05-25T19:59:00
AA,EZE,BOG,1887,2025-11-23 13:52:00,0,Puntual,2025-11-23T13:52:00
AR,SCL,MIA,11995,2025-03-23 16:58:00,0,Puntual,2025-03-23T16:58:00
IB,MIA,MAD,10129,2025-06-12 16:44:00,0,Puntual,2025-06-12T16:44:00
IB,SCL,GRU,3865,2025-07-23 05:45:00,0,Puntual,2025-07-23T05:45:00
AA,GRU,BOG,10421,2025-06-12 21:18:00,0,Puntual,2025-06-12T21:18:00
AR,EZE,GRU,2939,2025-10-01 15:01:00,0,Puntual,2025-10-01T15:01:00
AA,LIM,AEP,11865,2025-10-25 23:24:00,0,Puntual,2025-10-25T23:24:00
AR,LIM,MAD,1816,2025-11-21 16:23:00,0,Puntual,2025-11-21T16:23:00
G3,BOG,MIA,5704,2025-10-25 15:19:00,0,Puntual,2025-10-25T15:19:00
LA,AEP,BOG,5504,2025-01-11 10:40:00,1,Retrasado,2025-01-11T10:40:00
LA,SCL,BOG,1184,2025-10-18 13:23:00,0,Puntual,2025-10-18T13:23:00
LA,MIA,EZE,11280,2025-08-14 13:42:00,0,Puntual,2025-08-14T13:42:00
AA,BOG,LIM,6940,2025-04-20 10:37:00,0,Puntual,2025-04-20T10:37:00
G3,BOG,MIA,3587,2025-01-27 15:54:00,0,Puntual,2025-01-27T15:54:00
AR,MAD,BOG,10367,2025-03-04 23:12:00,0,Puntual,2025-03-04T23:12:00
IB,SCL,BOG,2613,2025-03-17 17:22:00,0,Puntual,2025-03-17T17:22:00
AR,MIA,MIA,1457,2025-02-27 07:46:00,0,Puntual,2025-02-27T07:46:00
IB,BOG,MAD,6278,2025-09-20 19:22:00,0,Puntual,2025-09-20T19:22:00
AR,MAD,GRU,8579,2025-09-16 06:22:00,0,Puntual,2025-09-16T06:22:00
G3,BOG,MIA,6528,2025-11-04 05:36:00,1,Retrasado,2025-11-04T05:36:00
IB,AEP,GRU,6200,2025-04-12 10:47:00,0,Puntual,2025-04-12T10:47:00
AA,GRU,MAD,3594,2025-12-11 08:52:00,0,Puntual,2025-12-11T08:52:00
AR,SCL,MAD,3307,2025-07-19 06:29:00,0,Puntual,2025-07-19T06:29:00
AR,MAD,SCL,8082,2025-01-17 19:10:00,0,Puntual,2025-01-17T19:10:00
IB,GRU,AEP,9512,2025-01-06 13:17:00,0,Puntual,2025-01-06T13:17:00
AA,MIA,EZE,1387,2025-09-16 10:12:00,0,Puntual,2025-09-16T10:12:00
AA,AEP,MAD,6515,2025-11-09 20:27:00,0,Puntual,2025-11-09T20:27:00
G3,MAD,SCL,5924,2025-01-22 04:28:00,0,Puntual,2025-01-22T04:28:00
AA,MIA,SCL,4493,2025-12-19 15:07:00,0,Puntual,2025-12-19T15:07:00
AA,BOG,SCL,3584,2025-11-05 21:10:00,1,Retrasado,2025-11-05T21:10:00
AA,LIM,MAD,1375,2025-08-14 09:30:00,0,Puntual,2025-08-14T09:30:00
LA,EZE,GRU,5769,2025-10-06 23:40:00,0,Puntual,2025-10-06T23:40:00
G3,MIA,MAD,8008,2025-03-14 15:33:00,0,Puntual,2025-03-14T15:33:00
AR,GRU,MIA,4496,2025-03-01 19:32:00,0,Puntual,2025-03-01T19:32:00
IB,AEP,MIA,1056,2025-03-27 18:35:00,1,Retrasado,2025-03-27T18:35:00
AR,AEP,MIA,5793,2025-11-22 08:53:00,0,Puntual,2025-11-22T08:53:00
G3,MIA,MIA,10906,2025-05-05 01:12:00,1,Retrasado,2025-05-05T01:12:00
IB,BOG,MIA,9400,2025-06-05 04:07:00,0,Puntual,2025-06-05T04:07:00
G3,EZE,MAD,1217,2025-02-04 05:04:00,0,Puntual,2025-02-04T05:04:00
AA,SCL,LIM,4165,2025-02-17 01:59:00,0,Puntual,2025-02-17T01:59:00
IB,GRU,EZE,10836,2025-06-03 21:30:00,0,Puntual,2025-06-03T21:30:00
AA,MIA,SCL,7047,2025-01-27 09:42:00,0,Puntual,2025-01-27T09:42:00
AR,MIA,MAD,5696,2025-09-03 08:42:00,0,Puntual,2025-09-03T08:42:00
AR,LIM,AEP,2519,2025-07-10 18:35:00,1,Retrasado,2025-07-10T18:35:00
IB,AEP,EZE,8982,2025-02-27 11:13:00,0,Puntual,2025-02-27T11:13:00
IB,GRU,LIM,2683,2025-07-07 01:31:00,0,Puntual,2025-07-07T01:31:00
